Source,Target,Type,Id,Label,timeset,Weight
12789381,100374520,Directed,500,,,1
12789381,129500474,Directed,501,,,1
12789381,140808280,Directed,502,,,1
12789381,152061184,Directed,503,,,1
12789381,155661745,Directed,504,,,1
12789381,167872081,Directed,505,,,1
12789381,193946764,Directed,506,,,1
12789381,205850158,Directed,507,,,1
12789381,220099966,Directed,508,,,1
12789381,255731762,Directed,509,,,1
12789381,266034113,Directed,510,,,1
12789381,365064968,Directed,511,,,1
12789381,405613416,Directed,512,,,1
13186664,16547019,Directed,514,,,1
13186664,31321482,Directed,515,,,1
13882914,3363362,Directed,516,,,1
13882914,10020082,Directed,517,,,1
14441649,3538796,Directed,518,,,1
14441649,4311406,Directed,519,,,1
14441649,6407680,Directed,520,,,1
14441649,6769254,Directed,521,,,1
14441649,7038577,Directed,522,,,1
14441649,7278378,Directed,523,,,1
14441649,7815454,Directed,524,,,1
14441649,8660003,Directed,525,,,1
14441649,9023364,Directed,526,,,1
14441649,14870878,Directed,527,,,1
14441649,19642021,Directed,528,,,1
14441649,20821771,Directed,530,,,1
14441649,24032841,Directed,531,,,1
14441649,28900519,Directed,532,,,1
31130945,562917251,Directed,2114,,,1
562917251,22662800,Directed,2107,,,1
562917251,45240815,Directed,2104,,,1
14441649,307363013,Directed,537,,,1
14583473,5599901,Directed,539,,,1
14583473,12789381,Directed,540,,,1
14583473,15803716,Directed,541,,,1
14583473,19045333,Directed,542,,,1
14583473,22662800,Directed,543,,,1
14583473,24054585,Directed,544,,,1
14583473,31130945,Directed,545,,,1
14583473,42044934,Directed,546,,,1
14583473,52055451,Directed,547,,,1
14583473,57516267,Directed,548,,,1
14583473,72454202,Directed,549,,,1
14583473,140808280,Directed,550,,,1
14583473,142952695,Directed,551,,,1
14583473,144468561,Directed,552,,,1
14583473,168639534,Directed,553,,,1
14583473,195924453,Directed,554,,,1
14583473,205312651,Directed,555,,,1
14583473,206047760,Directed,556,,,1
14583473,210183629,Directed,557,,,1
14583473,210752933,Directed,558,,,1
14583473,215122811,Directed,559,,,1
14583473,219156121,Directed,560,,,1
14583473,219930156,Directed,561,,,1
